Station ID,Station Name,Go live date,Status
3000,Virtual Station, 2015-04-23 ,Active
3004, Municipal Services Building Plaza                           , 2015-04-23 , Active   
3005," Welcome Park, NPS                                           ", 2015-04-23 , Active   
3006, 40th & Spruce                                               , 2015-04-23 , Active   
3007," 11th & Pine, Kahn Park                                      ", 2015-04-23 , Active   
3008, Temple University Station                                   , 2015-04-23 , Active   
3009, 33rd & Market                                               , 2015-04-23 , Active   
3010, 15th & Spruce                                               , 2015-04-23 , Active   
3011, 38th & Lancaster                                            , 2015-04-23 , Active   
3012, 21st & Catharine                                            , 2015-04-23 , Active   
3013, 6th & Fairmount                                             , 2015-04-23 , Active   
3014," 21st & Winter, Franklin Institute                           ", 2015-04-23 , Active   
3015," 4th & Walnut, NPS                                           ", 2015-04-23 , Active   
3016," 11th & Poplar, John F. Street Community Center              ", 2015-04-23 , Active   
3017, 6th & Berks                                                 , 2015-04-23 , Active   
3018, 12th & Filbert                                              , 2015-04-29 , Active   
3019, 6th & Race                                                  , 2015-04-29 , Active   
3020, University City Station                                     , 2015-04-23 , Active   
3021, 18th & JFK                                                  , 2015-04-23 , Active   
3022, Amtrak 30th Street Station                                  , 2015-04-23 , Active   
3023, Rittenhouse Square                                          , 2015-04-23 , Active   
3024," 43rd & Chester, Clark Park                                  ", 2015-04-23 , Active   
3025, 11th & Washington                                           , 2015-04-23 , Active   
3026, 2nd & South                                                 , 2015-04-23 , Active   
3027," 40th Street Station, MFL                                    ", 2015-04-23 , Active   
3028, 4th & Bainbridge                                            , 2015-04-23 , Active   
3029, 36th & Sansom                                               , 2015-04-23 , Active   
3030, Darien & Catharine                                          , 2015-04-23 , Active   
3031, 13th & Montgomery                                           , 2015-04-23 , Active   
3032, 23rd & South                                                , 2015-04-23 , Active   
3033, 10th & Chestnut                                             , 2015-04-23 , Active   
3034, 11th & Reed                                                 , 2015-04-23 , Active   
3035, Dornsife Center                                             , 2015-07-31 , Active   
3036, 2nd & Germantown                                            , 2015-04-23 , Active   
3037, Pennsylvania Convention Center                              , 2015-04-29 , Active   
3038, The Children's Hospital of Philadelphia (CHOP)              , 2015-04-23 , Active   
3039, Broad & Girard                                              , 2015-04-23 , Active   
3040," 17th & Spring Garden, Community College of Philadelphia     ", 2015-04-23 , Active   
3041," Girard Station, MFL                                         ", 2015-04-23 , Active   
3043," 18th & Fernon, Aquinas Center                               ", 2015-04-23 , Active   
3045, 13th & Locust                                               , 2015-04-28 , Active   
3046, 2nd & Market                                                , 2015-04-23 , Active   
